Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a man wearing a purple jumper,a man wearing a purple sweater,0.2431
1,a woman knitting a brown jumper,a woman knitting a brown sweater,0.2482
2,a girl knocking on the loo door,a girl knocking on the bathroom door,0.2378
3,a line of people waiting outside the loo,a line of people waiting outside the bathroom,0.2503
4,a man cutting a banger in half,a man cutting a sausage in half,0.5313
5,a woman throwing away the rubbish,a woman throwing away the trash,0.5122
6,a man loading luggage into the car boot,a man loading luggage into the car trunk,0.6901
7,a woman putting groceries in the car boot,a woman putting groceries in the car trunk,0.2815
8,a boy waiting in the queue at a grocery store,a boy waiting in the line at a grocery store,0.6712
9,a queue for the rollercoaster,a line for the rollercoaster,0.248
10,a queue at the ticket counter,a line at the ticket counter,0.4332
11,a queue for the morning bus,a line for the morning bus,0.255
12,a queue at the post office,a line at the post office,0.4372
13,a man ironing creases in his trousers,a man ironing creases in his pants,0.4066
14,a kid wearing a pair of blue trousers,a kid wearing a pair of blue pants,0.8618
15,a woman enjoying a cup of tea with a biscuit,a woman enjoying a cup of tea with a cookie,0.2776
16,a man baking homemade biscuits,a man baking homemade cookies,0.7993
17,a man searching in the dark with a torch,a man searching in the dark with a flashlight,0.2743
18,a policeman shining a torch at the suspect,a policeman shining a flashlight at the suspect,0.2459
19,a mother changing her baby's nappy,a mother changing her baby's diaper,0.5548
20,a happy baby wearing pink nappies,a happy baby wearing pink diapers,0.8217
21,a man filling up his car with petrol,a man filling up his car with gasoline,0.7065
22,a group of kids kicking a football,a group of kids kicking a soccer ball,0.702
23,a football player in the stadium,a soccer player in the stadium,0.5338
24,a football player celebrating a win,a soccer player celebrating a win,0.616
25,a football goalie in the field,a soccer goalie in the field,0.6494
26,a goalkeeper trying to catch a football,a goalkeeper trying to catch a soccer ball,0.7851
27,a woman picking up a prescription at the chemist,a woman picking up a precription at the pharmacy,0.4645
28,a group of people waiting at the chemist,a group of people waiting at the pharmacy,0.4003
29,a boy eating chips,a boy eating french fries,0.7318
30,a barrister talking to his client,an attorney talking to his client,0.29
31,a man attending a meeting with his barrister,a man attending a meeting with his attorney,0.372
32,a barrister in a courtroom,an attorney in a courtroom,0.4834
33,my barrister discussing the case,my attorney discussing the case,0.4712
34,a barrister with legal books,an attorney with legal books,0.591
35,a school caretaker sweeping the hallway,a school janitor sweeping the hallway,0.3371
36,a man talking to a caretaker at the mall,a man talking to a janitor at the mall,0.459
37,a tired caretaker in an empty hallway,a tired janitor in an empty hallway,0.1089
38,a caretaker sweeping the school hallway,a janitor sweeping the school hallway,0.2715
39,a office caretaker in a storage room,an office janitor in a supply closet,0.5589
40,a building caretaker taking out the rubbish,a building janitor taking out the trash,0.549
41,a man preparing dinner on the cooker,a man preparing dinner on the stove,0.3873
42,a woman putting the baby down in the cot,a woman putting the baby down in the crib,0.6332
43,a man setting up a cot,a man setting up a crib,0.6865
44,a baby in a colorful cot,a baby in a colorful crib,0.8453
45,a worker changing the image on the hoarding,a worker changing the image on the billboard,0.7009
46,a group of people staring at a large hoarding,a group of people staring at a large billboard,0.2483
47,a woman using a hoover to clean the carpet,a woman using a vacuum cleaner to clean the carpet,0.4325
48,a man using a hoover on a carpeted floor,a man using a vacuum cleaner on a carpeted floor,0.5947
49,a man holding a water jug,a man holding a water pitcher,0.1272
50,a boy refilling his cup with a water jug,a boy refilling his cup with a water pitcher,0.5325
51,a postman delivering packages,a mailman delivering packages,0.6886
52,a man having a friendly chat with the postman,a man having a friendly chat with the mailman,0.6107
53,a postman in blue uniform,a mailman in blue uniform,0.801
54,a postman on a bicycle,a mailman in a truck,0.6505
55,a postman at the front door,a mailman at the front door,0.7353
56,my postman with a big sack,my mailman with a big bag,0.3443
57,a woman taking a walk with her baby in the pram,a woman taking a walk with her baby in the baby carriage,0.5177
58,a pram with a sleeping baby,a baby carriage with a sleeping baby,0.6634
59,a man walking with a pram on a cobblestone street,a man walking with a baby carriage on a cobblestone street,0.5247
60,a man inside a black saloon,a man inside a black sedan,0.5757
61,a boy sitting on the bonnet of the car,a boy sitting on the hood of the car,0.93
62,a woman chopping coriander in the kitchen,a woman chopping cilantro in the kitchen,0.5546
63,a man slicing a courgette in the kitchen,a man slicing a zucchini in the kitchen,0.481
64,a woman picking a courgette at the market,a woman picking a zucchini at the market,0.3185
65,a crowd of people waiting for the tube,a crowd of people waiting for the subway,0.182
66,a man sitting inside the tube,a man sitting inside the subway,0.3847
67,my tube ride during rush hour,my subway ride during rush hour,0.4021
68,a grandma slicing an aubergine in the kitchen,a grandma slicing an eggplant in the kitchen,0.4633
69,a man picking an aubergine at the market,a man picking an eggplant at the market,0.4898
70,a plaster covering a small wound,a band-aid covering a small wound,0.5934
71,a plaster on someone's forehead,a band-aid on someone's forehead,0.5358
72,a plaster floating in a swimming pool,a band-aid floating in a swimming pool,0.622
73,a discarded plaster on the sidewalk,a discarded band-aid on the sidewalk,0.7005
74,a plaster with cartoon characters,a band-aid with cartoon characters,0.7711
75,a waterproof plaster on a hand,a waterproof band-aid on a hand,0.5263
76,a waistcoat displayed on a mannequin,a vest displayed on a mannequin,0.3613
77,a checked waistcoat on display,a checked vest on display,0.3923
78,a man buttoning his waistcoat,a man buttoning his vest,0.4769
79,a silk waistcoat in a boutique,a silk vest in a boutique,0.423
80,a waistcoat matching formal trousers,a vest matching formal pants,0.3954
81,a waistcoat embroidered with flowers,a vest embroidered with flowers,0.653
