Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,an old math in the village square,an old monastery in the village square,0.2361
1,a math on a grassy hill with trees,a monastery on a grassy hill with trees,0.2342
2,an older person entering a math,an older person entering a monastery,0.2151
3,a math in an old city center,a monastery in an old city center,0.2348
4,a math with a crowd of people outside,a monastery with a crowd of people outside,0.2136
5,an old math in a dark misty forest,an old monastery in a dark misty forest,0.26
6,a bottle of simkin on a wooden table,a bottle of champagne on a wooden table,0.2281
7,simkin on a shelf in a grocery store,champagne on a shelf in a grocery store,0.2039
8,simkin and two glasses on a table outside,champagne and two glasses on a table outside,0.2673
9,simkin in a glass on a table,champagne in a glass on a table,0.2633
10,a person holding a bottle of simkin,a person holding a bottle of champagne,0.2129
11,a person pouring simkin into a glass,a person pouring champagne into a glass,0.2756
12,a dai in a hospital,a midwife in a hospital,0.2649
13,a dai walking into a house,a midwife walking into a house,0.249
14,a woman in a bed with a dai next to it,a woman in a bed with a midwife next to it,0.273
15,a dai talking with a doctor,a midwife talking with a doctor,0.2645
16,a dai holding a bottle of medicine,a midwife holding a bottle of medicine,0.277
17,a dai talking with a nurse,a midwife talking with a nurse,0.2937
18,a medico sitting at a table outside,a medical practitioner sitting at a table outside,0.2872
19,two medicos in a conference room,two medical practitioners in a conference room,0.2916
20,a medico walking in a park,a medical practitioner walking in a park,0.3498
21,the medico talking with a patient in a room,the medical practitioner talking with a patient in a room,0.283
22,a medico standing outside a building,a medical practitioner standing outside a building,0.3108
23,a medico talking with a nurse,a medical practitioner talking with a nurse,0.2929
24,two windows covered with chick,two windows covered with bamboo blinds,0.2634
25,a living room with windows covered with chick,a living room with windows covered with bamboo blinds,0.2877
26,a kitchen with a window covered with chick,a kitchen with a window covered with bamboo blinds,0.2841
27,a living room window covered with rolled-up chick,a living room window covered with rolled-up bamboo blinds,0.221
28,a doorway with chick covering it,a doorway with bamboo blinds covering it,0.2302
29,a window with rolled up chick,a window with rolled up bamboo blinds,0.2379
30,a ghat with lots of pine trees,a mountain pass with lots of pine trees,0.2376
31,a narrow ghat covered in snow and pine trees,a narrow mountain pass covered in snow and pine trees,0.2985
32,a ghat with a road with lots of cars,a mountain pass with a road with lots of cars,0.2868
33,two people walking through the ghat,two people walking through the mountain pass,0.273
34,a roadway in the ghat,a roadway in the mountain pass,0.2839
35,a trail in the wooded ghat,a trail in the wooded mountain pass,0.2897
36,an old kirana with faded signage,an old convenience store with faded signage,0.2734
37,a modern kirana with glass doors,a modern convenience store with glass doors,0.2381
38,a busy kirana packed with groceries,a busy convenience store packed with groceries,0.2949
39,a small kirana on fire at dusk,a small convenience store on fire at dusk,0.2515
40,an empty kirana with bare shelves,an empty convenience store with bare shelves,0.2637
41,a painting of a kirana with stacked cans,a painting of a convenience store with stacked cans,0.3364
42,a mandapa beside some trees,a temple beside some trees,0.282
43,people standing outside a mandapa,people standing outside a temple,0.3202
44,a well-dressed person in front of a mandapa,a well-dressed person in front of a temple,0.2908
45,a family in front of a mandapa,a family in front of a temple,0.3232
46,a mandapa beside a sandy landscape,a temple beside a sandy landscape,0.3122
47,an old mandapa with lots of people,an old temple with lots of people,0.2814
48,a nai cutting a man's hair,a barber cutting a man's hair,0.284
49,a nai cutting a woman's hair,a barber cutting a woman's hair,0.2383
50,a nai shop in a busy city,a barber shop in a busy city,0.2367
51,a friendly local nai,a friendly local barber,0.1981
52,a child getting his hair cut by a nai,a child getting his hair cut by a barber,0.3082
53,three people in a nai shop,three people in a barber shop,0.2385
54,officers working inside a thana,officers working inside a police station,0.3029
55,a person standing outside a thana,a person standing outside a police station,0.2331
56,a person talking to an officer inside a thana,a person talking to an officer inside a police station,0.3033
57,two officers speaking to an arrested person in a thana,two officers speaking to an arrested person in a police station,0.3108
58,a thana on a road with lots of trees,a police station on a road with lots of trees,0.2609
59,a thana in a busy city,a police station in a busy city,0.2105
60,a boy standing with his abba,a boy standing with his father,0.2835
61,a girl standing with her abba near the school gate,a girl standing with her father near the school gate,0.3118
62,a man hiking with his abba,a man hiking with his father,0.3031
63,a woman in a car with her abba,a woman in a car with her father,0.2666
64,a woman walking with her abba and a dog,a woman walking with her father and a dog,0.2989
